	記号,一般,*,*,*,*,*
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
なぁ	助詞,終助詞,*,*,*,*,なぁ,ナァ,ナー
。	記号,句点,*,*,*,*,。,。,。
☀	名詞,一般,*,*,*,*,太陽,タイヨウ,タイヨー
️🌈	記号,一般,*,*,*,*,*
☄	名詞,一般,*,*,*,*,流れ星,ナガレボシ,ナガレボシ
😍	記号,一般,*,*,*,*,ハート(笑),ハート,ハート
💞	名詞,一般,*,*,*,*,ハート,ハート,ハート
🌟	名詞,一般,*,*,*,*,星,ホシ,ホシ
👌	記号,一般,*,*,*,*,OK,オーケー,オーケー
いま	名詞,副詞可能,*,*,*,*,いま,イマ,イマ
使っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,使う,ツカッ,ツカッ
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ
製図ペン	名詞,固有名詞,一般,*,*,*,製図ペン,セイズペン,セイズペン
一	名詞,数,*,*,*,*,一,イチ,イチ
本	名詞,接尾,助数詞,*,*,*,本,ホン,ホン
しか	助詞,係助詞,*,*,*,*,しか,シカ,シカ
つか	動詞,自立,*,*,五段・カ行イ音便,未然形,つく,ツカ,ツカ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
わ	名詞,一般,*,*,*,*,わ,ワ,ワ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ランクカンスト	名詞,一般,*,*,*,*,*
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
って	助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
マゾヒスト	名詞,固有名詞,一般,*,*,*,マゾヒスト,マゾヒスト,マゾヒスト
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
の	助詞,終助詞,*,*,*,*,の,ノ,ノ
？	記号,一般,*,*,*,*,？,？,？
レベル	名詞,一般,*,*,*,*,レベル,レベル,レベル
上げ	名詞,一般,*,*,*,*,上げ,アゲ,アゲ
キッツ	名詞,固有名詞,組織,*,*,*,キッツ,キッツ,キッツ
。	記号,句点,*,*,*,*,。,。,。
。	記号,句点,*,*,*,*,。,。,。
まだ	副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ
、	記号,読点,*,*,*,*,、,、,、
全貌	名詞,一般,*,*,*,*,全貌,ゼンボウ,ゼンボー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,未然形,いる,イ,イ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
雨	名詞,一般,*,*,*,*,雨,アメ,アメ
降っ	動詞,自立,*,*,五段・ラ行,連用タ接続,降る,フッ,フッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
寒い	形容詞,自立,*,*,形容詞・アウオ段,基本形,寒い,サムイ,サムイ
し	助詞,接続助詞,*,*,*,*,し,シ,シ
冷蔵庫	名詞,一般,*,*,*,*,冷蔵庫,レイゾウコ,レイゾーコ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
食材	名詞,一般,*,*,*,*,食材,ショクザイ,ショクザイ
ないし	接続詞,*,*,*,*,*,ないし,ナイシ,ナイシ
出前	名詞,一般,*,*,*,*,出前,デマエ,デマエ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
るかな	名詞,固有名詞,人名,一般,*,*,るかな,ルカナ,ルカナ
。	記号,句点,*,*,*,*,。,。,。
まほ	名詞,固有名詞,人名,名,*,*,まほ,マホ,マホ
姉	名詞,一般,*,*,*,*,姉,アネ,アネ
💓	名詞,一般,*,*,*,*,ハート,ハート,ハート
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ヨガ	名詞,一般,*,*,*,*,ヨガ,ヨガ,ヨガ
最後	名詞,一般,*,*,*,*,最後,サイゴ,サイゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
リラックスタイム	名詞,固有名詞,一般,*,*,*,リラックスタイム,リラックスタイム,リラックスタイム
の	助詞,連体化,*,*,*,*,の,ノ,ノ
幸せ	名詞,形容動詞語幹,*,*,*,*,幸せ,シアワセ,シアワセ
感	名詞,接尾,一般,*,*,*,感,カン,カン
ハマり	動詞,自立,*,*,五段・ラ行,連用形,ハマる,ハマリ,ハマリ
そう	名詞,接尾,助動詞語幹,*,*,*,そう,ソウ,ソー
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ
、	記号,読点,*,*,*,*,、,、,、
駅	名詞,一般,*,*,*,*,駅,エキ,エキ
ホーム	名詞,一般,*,*,*,*,ホーム,ホーム,ホーム
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
い	動詞,自立,*,*,一段,連用形,いる,イ,イ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
中学生	名詞,一般,*,*,*,*,中学生,チュウガクセイ,チューガクセイ
？	記号,一般,*,*,*,*,？,？,？
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
合唱	名詞,サ変接続,*,*,*,*,合唱,ガッショウ,ガッショー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
練習	名詞,サ変接続,*,*,*,*,練習,レンシュウ,レンシュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
み	動詞,自立,*,*,一段,連用形,みる,ミ,ミ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
だけ	助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
、	記号,読点,*,*,*,*,、,、,、
可愛い〜	形容詞,自立,*,*,形容詞・イ段,基本形,可愛い,カワイイー,カワイー
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット
、	記号,読点,*,*,*,*,、,、,、
ハモり	名詞,固有名詞,一般,*,*,*,ハモり,ハモリ,ハモリ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
苦手	名詞,形容動詞語幹,*,*,*,*,苦手,ニガテ,ニガテ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
子	名詞,一般,*,*,*,*,子,コ,コ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
い	動詞,自立,*,*,一段,連用形,いる,イ,イ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
アドバイス	名詞,サ変接続,*,*,*,*,アドバイス,アドバイス,アドバイス
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
うけ	動詞,自立,*,*,一段,連用形,うける,ウケ,ウケ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
特訓	名詞,サ変接続,*,*,*,*,特訓,トックン,トックン
中	名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
さのまる	名詞,固有名詞,一般,*,*,*,さのまる,サノマル,サノマル
だいすき	名詞,形容動詞語幹,*,*,*,*,大好き,ダイスキ,ダイスキ
【	記号,括弧開,*,*,*,*,【,【,【
定期	名詞,一般,*,*,*,*,定期,テイキ,テイキ
】	記号,括弧閉,*,*,*,*,】,】,】
ダイアモンド	名詞,固有名詞,一般,*,*,*,Diamond,ダイアモンド,ダイアモンド
スキン	名詞,一般,*,*,*,*,スキン,スキン,スキン
って	助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
、	記号,読点,*,*,*,*,、,、,、
なんで	副詞,一般,*,*,*,*,なんで,ナンデ,ナンデ
不倫	名詞,サ変接続,*,*,*,*,不倫,フリン,フリン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
タイトル	名詞,一般,*,*,*,*,タイトル,タイトル,タイトル
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
だろ	助動詞,*,*,*,特殊・ダ,未然形,だ,ダロ,ダロ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
。	記号,句点,*,*,*,*,。,。,。
ド	接頭詞,名詞接続,*,*,*,*,ド,ド,ド
変態	名詞,サ変接続,*,*,*,*,変態,ヘンタイ,ヘンタイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
聞こえ	動詞,自立,*,*,一段,連用形,聞こえる,キコエ,キコエ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
くる	動詞,非自立,*,*,カ変・クル,基本形,くる,クル,クル
まわり	名詞,一般,*,*,*,*,まわり,マワリ,マワリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
りずむ	名詞,一般,*,*,*,*,リズム,リズム,リズム
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
あわせ	動詞,自立,*,*,一段,連用形,あわせる,アワセ,アワセ
ー	名詞,一般,*,*,*,*,*
て	助詞,格助詞,連語,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
と	助詞,格助詞,引用,*,*,*,と,ト,ト
ぎどきじぶんを	名詞,一般,*,*,*,*,*
、	記号,読点,*,*,*,*,、,、,、
みうしなう	動詞,自立,*,*,五段・ワ行促音便,基本形,みうしなう,ミウシナウ,ミウシナウ
はらぺこ	名詞,一般,*,*,*,*,腹ぺこ,ハラペコ,ハラペコ
ぺこぺこ	名詞,サ変接続,*,*,*,*,ぺこぺこ,ペコペコ,ペコペコ
アイコン	名詞,固有名詞,一般,*,*,*,iKON,アイコン,アイコン
に対して	助詞,格助詞,連語,*,*,*,に対して,ニタイシテ,ニタイシテ
ファボ	名詞,サ変接続,*,*,*,*,ファボ,ファボ,ファボ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
w	名詞,固有名詞,組織,*,*,*,*
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
もん	名詞,非自立,一般,*,*,*,もん,モン,モン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
わ～	副詞,一般,*,*,*,*,わー,ワー,ワー
サイン	名詞,サ変接続,*,*,*,*,サイン,サイン,サイン
さん	名詞,接尾,人名,*,*,*,さん,サン,サン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
！	記号,一般,*,*,*,*,！,！,！
最近	名詞,副詞可能,*,*,*,*,最近,サイキン,サイキン
、	記号,読点,*,*,*,*,、,、,、
出産	名詞,サ変接続,*,*,*,*,出産,シュッサン,シュッサン
にまつわる	助詞,格助詞,連語,*,*,*,にまつわる,ニマツワル,ニマツワル
夢	名詞,一般,*,*,*,*,夢,ユメ,ユメ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
見る	動詞,自立,*,*,一段,基本形,見る,ミル,ミル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
先日	名詞,副詞可能,*,*,*,*,先日,センジツ,センジツ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
流産	名詞,サ変接続,*,*,*,*,流産,リュウザン,リューザン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
夢	名詞,一般,*,*,*,*,夢,ユメ,ユメ
。	記号,句点,*,*,*,*,。,。,。
今朝	名詞,副詞可能,*,*,*,*,今朝,ケサ,ケサ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
産まれ	動詞,自立,*,*,一段,連用形,産まれる,ウマレ,ウマレ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
赤ん坊	名詞,一般,*,*,*,*,赤ん坊,アカンボウ,アカンボー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
猫	名詞,一般,*,*,*,*,猫,ネコ,ネコ
だっ	助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
夢	名詞,一般,*,*,*,*,夢,ユメ,ユメ
。	記号,句点,*,*,*,*,。,。,。
猫	名詞,一般,*,*,*,*,猫,ネコ,ネコ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
可愛い	形容詞,自立,*,*,形容詞・イ段,基本形,可愛い,カワイイ,カワイイ
し	助詞,接続助詞,*,*,*,*,し,シ,シ
良かっ	形容詞,非自立,*,*,形容詞・アウオ段,連用タ接続,良い,ヨカッ,ヨカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
〜	記号,一般,*,*,*,*,〜,〜,〜
って	助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
？	記号,一般,*,*,*,*,？,？,？
猫	名詞,一般,*,*,*,*,猫,ネコ,ネコ
？	記号,一般,*,*,*,*,？,？,？
？	記号,一般,*,*,*,*,？,？,？
ってな	助詞,格助詞,連語,*,*,*,ってな,ッテナ,ッテナ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
腑に落ちない	名詞,固有名詞,一般,*,*,*,腑に落ちない,フニオチナイ,フニオチナイ
気持ち	名詞,一般,*,*,*,*,気持ち,キモチ,キモチ
も	助詞,係助詞,*,*,*,*,も,モ,モ
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
意外と	副詞,一般,*,*,*,*,意外と,イガイト,イガイト
赤ん坊	名詞,一般,*,*,*,*,赤ん坊,アカンボウ,アカンボー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
、	記号,読点,*,*,*,*,、,、,、
楽しみ	名詞,一般,*,*,*,*,楽しみ,タノシミ,タノシミ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
、	記号,読点,*,*,*,*,、,、,、
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ
。	記号,句点,*,*,*,*,。,。,。
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ダメ	名詞,形容動詞語幹,*,*,*,*,ダメ,ダメ,ダメ
なら	助動詞,*,*,*,特殊・ダ,仮定形,だ,ナラ,ナラ
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ
相手	名詞,一般,*,*,*,*,相手,アイテ,アイテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
せい	名詞,非自立,一般,*,*,*,せい,セイ,セイ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
あ	フィラー,*,*,*,*,*,あ,ア,ア
、	記号,読点,*,*,*,*,、,、,、
ちなみに	接続詞,*,*,*,*,*,ちなみに,チナミニ,チナミニ
元気	名詞,形容動詞語幹,*,*,*,*,元気,ゲンキ,ゲンキ
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
。	記号,句点,*,*,*,*,。,。,。
もしも	副詞,助詞類接続,*,*,*,*,もしも,モシモ,モシモ
聞い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,聞く,キイ,キイ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ
情報	名詞,一般,*,*,*,*,情報,ジョウホウ,ジョーホー
いら	動詞,自立,*,*,五段・ラ行,未然形,いる,イラ,イラ
ね	助動詞,*,*,*,特殊・ヌ,仮定形,ぬ,ネ,ネ
〜	記号,一般,*,*,*,*,〜,〜,〜
ま	感動詞,*,*,*,*,*,ま,マ,マ
ぢ	名詞,一般,*,*,*,*,ぢ,ヂ,ジ
キショイ	形容詞,自立,*,*,形容詞・アウオ段,基本形,きしょい,キショイ,キショイ
N	名詞,一般,*,*,*,*,*
消え	動詞,自立,*,*,一段,連用形,消える,キエ,キエ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
くれ	動詞,非自立,*,*,一段・クレル,連用形,くれる,クレ,クレ
切実	名詞,形容動詞語幹,*,*,*,*,切実,セツジツ,セツジツ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
ライリー	名詞,固有名詞,人名,一般,*,*,ライリー,ライリー,ライリー
最高かよ	名詞,固有名詞,一般,*,*,*,最高かよ,サイコウカヨ,サイコーカヨ
w	名詞,接尾,助数詞,*,*,*,w,ワット,ワット
流れ	名詞,一般,*,*,*,*,流れ,ナガレ,ナガレ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
乗る	動詞,自立,*,*,五段・ラ行,基本形,乗る,ノル,ノル
オタク	名詞,一般,*,*,*,*,オタク,オタク,オタク
！	記号,一般,*,*,*,*,！,！,！
彼	名詞,代名詞,一般,*,*,*,彼,カレ,カレ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
帰宅	名詞,サ変接続,*,*,*,*,帰宅,キタク,キタク
のんちゃん	名詞,固有名詞,一般,*,*,*,のんちゃん,ノンチャン,ノンチャン
